,01/06/23,01/09/23,01/10/23,01/11/23,01/12/23,01/13/23,01/17/23,01/18/23,01/19/23,01/20/23,01/23/23,01/24/23,01/25/23
01/06/23,42.0,43.60,,,,,,,,,,,
01/13/23,43.0,43.0,43.5,44.0,45.0,45.5,50.82,,,,,,
01/20/23,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,52.39,,
01/27/23,44.0,44.0,44.0,44.0,45.0,45.0,46.0,47.0,49.0,49.0,50.0,50.0,50.0
02/03/23,42.0,43.0,43.0,44.0,45.0,45.0,46.0,48.0,48.0,48.5,49.0,49.0,52.0
02/10/23,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,42.0,42.0,42.0,44.0
02/17/23,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
02/24/23,43.0,42.0,47.0,45.0,46.0,49.0,49.0,50.0,49.0,50.0,50.0,50.0,50.0
03/03/23,,,,,38.0,55.0,51.0,51.0,51.0,51.0,51.0,51.0,52.0
03/17/23,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
04/21/23,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
06/16/23,65.0,65.0,65.0,65.0,65.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
07/21/23,75.0,80.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
09/15/23,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
01/19/24,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
