,12/27/22,12/28/22,12/29/22,12/30/22,01/03/23,01/04/23,01/05/23,01/06/23,01/09/23,01/10/23,01/11/23,01/12/23,01/13/23,01/17/23,01/18/23,01/19/23,01/20/23,01/23/23,01/24/23,01/25/23
12/28/22,,382.0,376.66,,,,,,,,,,,,,,,,,
12/29/22,384.0,382.0,380.0,383.44,,,,,,,,,,,,,,,,
12/30/22,385.0,385.0,382.0,383.0,382.43,,,,,,,,,,,,,,,
01/03/23,382.0,382.0,381.0,382.0,382.0,380.82,,,,,,,,,,,,,,
01/04/23,382.0,382.0,382.0,382.0,382.0,381.0,383.76,,,,,,,,,,,,,
01/05/23,382.0,382.0,381.0,383.0,383.0,383.0,382.0,379.38,,,,,,,,,,,,
01/06/23,385.0,385.0,383.0,384.0,383.0,382.0,383.0,382.0,388.08,,,,,,,,,,,
01/09/23,330.0,330.0,384.0,384.0,384.0,382.0,384.0,382.0,385.0,387.86,,,,,,,,,,
01/10/23,330.0,330.0,382.0,383.0,382.0,380.0,381.0,381.0,384.0,388.0,390.58,,,,,,,,,
01/11/23,,,320.0,384.0,383.0,381.0,382.0,382.0,383.0,388.0,388.0,395.52,,,,,,,,
01/12/23,,,,330.0,384.0,384.0,384.0,383.0,387.0,390.0,390.0,392.0,396.96,,,,,,,
01/13/23,390.0,390.0,388.0,389.0,388.0,387.0,386.0,385.0,385.0,387.0,387.0,390.0,393.0,398.50,,,,,,
01/17/23,,,,,,330.0,382.0,381.0,383.0,387.0,387.0,392.0,392.0,394.0,397.77,,,,,
01/18/23,,,,,,330.0,386.0,380.0,382.0,386.0,386.0,393.0,395.0,395.0,396.0,391.49,,,,
01/19/23,,,,,,,,320.0,379.0,390.0,390.0,392.0,396.0,397.0,398.0,394.0,388.64,,,
01/20/23,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,395.88,,
01/23/23,,,,,,,,,,340.0,340.0,394.0,395.0,395.0,396.0,395.0,392.0,392.0,400.63,
01/24/23,,,,,,,,,,340.0,340.0,392.0,398.0,399.0,399.0,399.0,396.0,396.0,395.0,400.20
01/25/23,,,,,,,,,,,,393.0,395.0,396.0,396.0,397.0,395.0,395.0,395.0,399.0
01/26/23,,,,,,,,,,,,330.0,396.0,397.0,398.0,397.0,394.0,394.0,393.0,398.0
01/27/23,385.0,385.0,385.0,385.0,385.0,385.0,385.0,384.0,384.0,385.0,385.0,387.5,390.0,391.0,392.0,392.5,392.0,392.0,392.5,397.0
01/30/23,,,,,,,,,,,,,,340.0,398.0,396.0,392.0,392.0,392.0,397.0
01/31/23,,,,,,,,,,,,,,340.0,398.0,398.0,396.0,396.0,395.0,398.0
02/01/23,,,,,,,,,,,,,,,340.0,400.0,395.0,395.0,395.0,400.0
02/02/23,,,,,,,,,,,,,,,,340.0,387.0,387.0,390.0,397.0
02/03/23,387.0,387.0,386.0,386.0,385.0,384.0,384.0,384.0,385.0,386.0,386.0,388.0,390.0,390.0,392.0,393.0,392.0,392.0,392.0,395.0
02/06/23,,,,,,,,,,,,,,,,,,,360.0,399.0
02/07/23,,,,,,,,,,,,,,,,,,,360.0,401.0
02/08/23,,,,,,,,,,,,,,,,,,,,340.0
02/10/23,,,335.0,384.0,379.0,379.0,382.0,381.0,384.0,385.0,385.0,390.0,394.0,395.0,395.0,395.0,394.0,394.0,395.0,397.0
02/17/23,396.0,396.0,395.0,395.0,394.0,392.0,392.0,390.0,390.0,390.0,390.0,391.0,394.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0
02/24/23,,,,,,,340.0,383.0,387.0,394.0,394.0,395.0,395.0,396.0,397.0,397.5,396.0,396.0,395.0,397.5
