,01/12/23,01/13/23,01/17/23,01/18/23,01/19/23,01/20/23,01/23/23,01/24/23,01/25/23
01/13/23,120.0,120.0,122.40,,,,,,
01/20/23,136.67,135.0,133.33,131.0,130.0,130.0,133.42,,
01/27/23,125.0,125.0,124.0,128.0,130.0,130.0,130.0,135.0,138.0
02/03/23,119.0,120.0,120.0,125.0,127.0,127.0,130.0,134.0,136.0
02/10/23,130.0,130.0,125.0,129.0,129.0,129.0,130.0,137.0,138.0
02/17/23,135.0,135.0,130.0,130.0,130.0,130.0,130.0,130.0,135.0
02/24/23,120.0,120.0,120.0,122.0,122.0,125.0,126.0,129.0,130.0
03/03/23,110.0,120.0,121.0,124.0,125.0,128.0,128.0,129.0,129.0
03/17/23,165.0,166.67,163.33,160.0,160.0,160.0,160.0,160.0,160.0
04/21/23,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33
05/19/23,130.0,130.0,130.0,115.0,115.0,115.0,115.0,120.0,120.0
06/16/23,185.0,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33
07/21/23,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0
09/15/23,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
12/15/23,145.0,145.0,150.0,145.0,135.0,135.0,140.0,135.0,135.0
01/19/24,180.0,180.0,180.0,180.0,180.0,180.0,175.0,173.33,173.33
