,12/27/22,12/28/22,12/29/22,12/30/22,12/31/22
01/03/22,N/A,$382.00,N/A,N/A,N/A
01/20/22,N/A,$390.00,N/A,N/A,N/A
12/28/22,N/A,$382.00,N/A,N/A,N/A
12/29/22,$1,$382.00,$380.00,N/A,N/A
12/30/22,$385.00,$385.00,$382.00,$383.00,N/A
01/03/23,$382.00,N/A,$381.00,$382.00,$382.00
01/04/23,$382.00,$382.00,$382.00,$382.00,$382.00
01/05/23,$382.00,$382.00,$381.00,$383.00,$383.00
01/06/23,$385.00,$385.00,$383.00,$384.00,$384.00
01/09/23,$330.00,$330.00,$384.00,$384.00,$384.00
01/10/23,$330.00,$330.00,$382.00,$383.00,$383.00
01/11/23,N/A,N/A,$320.00,$384.00,$384.00
01/12/23,N/A,N/A,N/A,$330.00,$324.00
01/13/23,$390.00,$390.00,$388.00,$389.00,$389.00
01/20/23,$390.00,N/A,$390.00,$390.00,$390.00
01/27/23,$385.00,$385.00,$385.00,$385.00,$385.00
02/03/23,$387.00,$387.00,$386.00,$386.00,$386.00
02/10/23,N/A,N/A,$335.00,$384.00,$384.00
02/17/23,$396.00,$396.00,$395.00,$395.00,$395.00
03/17/23,$395.00,$395.00,$395.00,$395.00,$395.00
03/31/23,$381.00,$381.00,$380.00,$380.00,$380.00
04/21/23,$400.00,$400.00,$400.00,$400.00,$400.00
06/16/23,$391.00 ,$391.00,$390.00,$390.00,$390.00
06/23/23,$1,N/A,N/A,N/A,N/A
