Series Search Results for SPY

Products for this option symbol are traded on: 
AMEX ARCA BATS BOX C2 CBOE EDGX EMLD GEM ISE MCRY MIAX MPRL NOBO NSDQ PHLX 

		Series/contract		Strike			Open Interest			
ProductSymbol	year	Month	Day	Integer	Dec	C/P	Call	Put	Position Limit	
SPY   		2023	01	19	320	000	C P 	0	49	360000000
SPY   		2023	01	19	330	000	C P 	0	664	360000000
SPY   		2023	01	19	331	000	C P 	0	10	360000000
SPY   		2023	01	19	332	000	C P 	0	11	360000000
SPY   		2023	01	19	333	000	C P 	0	590	360000000
SPY   		2023	01	19	334	000	C P 	0	190	360000000
SPY   		2023	01	19	335	000	C P 	0	309	360000000
SPY   		2023	01	19	336	000	C P 	0	311	360000000
SPY   		2023	01	19	337	000	C P 	0	0	360000000
SPY   		2023	01	19	338	000	C P 	0	422	360000000
SPY   		2023	01	19	339	000	C P 	0	500	360000000
SPY   		2023	01	19	340	000	C P 	0	47	360000000
SPY   		2023	01	19	341	000	C P 	0	503	360000000
SPY   		2023	01	19	342	000	C P 	0	125	360000000
SPY   		2023	01	19	343	000	C P 	0	496	360000000
SPY   		2023	01	19	344	000	C P 	0	239	360000000
SPY   		2023	01	19	345	000	C P 	0	435	360000000
SPY   		2023	01	19	346	000	C P 	0	590	360000000
SPY   		2023	01	19	347	000	C P 	0	13	360000000
SPY   		2023	01	19	348	000	C P 	0	0	360000000
SPY   		2023	01	19	349	000	C P 	0	22	360000000
SPY   		2023	01	19	350	000	C P 	0	152	360000000
SPY   		2023	01	19	351	000	C P 	0	10	360000000
SPY   		2023	01	19	352	000	C P 	0	345	360000000
SPY   		2023	01	19	353	000	C P 	0	1036	360000000
SPY   		2023	01	19	354	000	C P 	0	827	360000000
SPY   		2023	01	19	355	000	C P 	0	87	360000000
SPY   		2023	01	19	356	000	C P 	0	814	360000000
SPY   		2023	01	19	357	000	C P 	0	141	360000000
SPY   		2023	01	19	358	000	C P 	0	293	360000000
SPY   		2023	01	19	359	000	C P 	0	29	360000000
SPY   		2023	01	19	360	000	C P 	0	976	360000000
SPY   		2023	01	19	361	000	C P 	0	625	360000000
SPY   		2023	01	19	362	000	C P 	0	518	360000000
SPY   		2023	01	19	363	000	C P 	0	1936	360000000
SPY   		2023	01	19	364	000	C P 	0	2073	360000000
SPY   		2023	01	19	365	000	C P 	0	1190	360000000
SPY   		2023	01	19	366	000	C P 	0	92	360000000
SPY   		2023	01	19	367	000	C P 	0	1105	360000000
SPY   		2023	01	19	368	000	C P 	0	1249	360000000
SPY   		2023	01	19	369	000	C P 	0	1308	360000000
SPY   		2023	01	19	370	000	C P 	0	4334	360000000
SPY   		2023	01	19	371	000	C P 	0	574	360000000
SPY   		2023	01	19	372	000	C P 	0	546	360000000
SPY   		2023	01	19	373	000	C P 	0	528	360000000
SPY   		2023	01	19	374	000	C P 	0	12414	360000000
SPY   		2023	01	19	375	000	C P 	0	8797	360000000
SPY   		2023	01	19	376	000	C P 	0	2007	360000000
SPY   		2023	01	19	377	000	C P 	0	4438	360000000
SPY   		2023	01	19	378	000	C P 	0	3294	360000000
SPY   		2023	01	19	379	000	C P 	0	2490	360000000
SPY   		2023	01	19	380	000	C P 	0	9963	360000000
SPY   		2023	01	19	381	000	C P 	0	5838	360000000
SPY   		2023	01	19	382	000	C P 	0	7638	360000000
SPY   		2023	01	19	383	000	C P 	0	8477	360000000
SPY   		2023	01	19	384	000	C P 	0	8786	360000000
SPY   		2023	01	19	385	000	C P 	0	15740	360000000
SPY   		2023	01	19	386	000	C P 	0	26438	360000000
SPY   		2023	01	19	387	000	C P 	0	19534	360000000
SPY   		2023	01	19	388	000	C P 	10	23114	360000000
SPY   		2023	01	19	389	000	C P 	1430	6705	360000000
SPY   		2023	01	19	390	000	C P 	11610	3	360000000
SPY   		2023	01	19	391	000	C P 	19342	0	360000000
SPY   		2023	01	19	392	000	C P 	21190	0	360000000
SPY   		2023	01	19	393	000	C P 	19897	0	360000000
SPY   		2023	01	19	394	000	C P 	16899	2	360000000
SPY   		2023	01	19	395	000	C P 	22328	0	360000000
SPY   		2023	01	19	396	000	C P 	19913	0	360000000
SPY   		2023	01	19	397	000	C P 	13673	0	360000000
SPY   		2023	01	19	398	000	C P 	15303	0	360000000
SPY   		2023	01	19	399	000	C P 	18324	0	360000000
SPY   		2023	01	19	400	000	C P 	26522	0	360000000
SPY   		2023	01	19	401	000	C P 	17196	0	360000000
SPY   		2023	01	19	402	000	C P 	11161	0	360000000
SPY   		2023	01	19	403	000	C P 	11722	0	360000000
SPY   		2023	01	19	404	000	C P 	13711	0	360000000
SPY   		2023	01	19	405	000	C P 	5864	0	360000000
SPY   		2023	01	19	406	000	C P 	9148	0	360000000
SPY   		2023	01	19	407	000	C P 	2867	0	360000000
SPY   		2023	01	19	408	000	C P 	1949	0	360000000
SPY   		2023	01	19	409	000	C P 	2228	0	360000000
SPY   		2023	01	19	410	000	C P 	2552	0	360000000
SPY   		2023	01	19	411	000	C P 	1864	0	360000000
SPY   		2023	01	19	412	000	C P 	2308	0	360000000
SPY   		2023	01	19	413	000	C P 	5180	0	360000000
SPY   		2023	01	19	414	000	C P 	442	0	360000000
SPY   		2023	01	19	415	000	C P 	703	0	360000000
SPY   		2023	01	19	416	000	C P 	1747	0	360000000
SPY   		2023	01	19	417	000	C P 	351	0	360000000
SPY   		2023	01	19	418	000	C P 	184	0	360000000
SPY   		2023	01	19	419	000	C P 	146	0	360000000
SPY   		2023	01	19	420	000	C P 	363	0	360000000
SPY   		2023	01	19	421	000	C P 	1114	0	360000000
SPY   		2023	01	19	422	000	C P 	26	0	360000000
SPY   		2023	01	19	423	000	C P 	368	0	360000000
SPY   		2023	01	19	424	000	C P 	514	0	360000000
SPY   		2023	01	19	425	000	C P 	38	0	360000000
